Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Nico  Rosberg  ROS,Williams Toyota,1:27.706,
,Malaysia,Jenson  Button  BUT,Brawn Mercedes,1:36.641,
,China,Rubens  Barrichello  BAR,Brawn Mercedes,1:52.592,
,Bahrain,Jarno  Trulli  TRU,Toyota,1:34.556,
,Spain,Rubens  Barrichello  BAR,Brawn Mercedes,1:22.762,
,Monaco,Felipe  Massa  MAS,Ferrari,1:15.154,
,Turkey,Jenson  Button  BUT,Brawn Mercedes,1:27.579,
,Great Britain,Sebastian  Vettel  VET,RBR Renault,1:20.735,
,Germany,Fernando  Alonso  ALO,Renault,1:33.365,
,Hungary,Mark  Webber  WEB,RBR Renault,1:21.931,
,Europe,Timo  Glock  GLO,Toyota,1:38.683,
,Belgium,Sebastian  Vettel  VET,RBR Renault,1:47.263,
,Italy,Adrian  Sutil  SUT,Force India Mercedes,1:24.739,
,Singapore,Fernando  Alonso  ALO,Renault,1:48.240,
,Japan,Mark  Webber  WEB,RBR Renault,1:32.569,
,Brazil,Mark  Webber  WEB,RBR Renault,1:13.733,
,Abu Dhabi,Sebastian  Vettel  VET,RBR Renault,1:40.279,
