Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,South Africa,Jackie  Stewart  STE,Matra Ford,1:21.600,
,Spain,Jochen  Rindt  RIN,Lotus Ford,1:28.300,
,Monaco,Jackie  Stewart  STE,Matra Ford,1:25.100,
,Netherlands,Jackie  Stewart  STE,Matra Ford,1:22.940,
,France,Jackie  Stewart  STE,Matra Ford,3:02.700,
,Great Britain,Jackie  Stewart  STE,Matra Ford,1:21.300,
,Germany,Jacky  Ickx  ICK,Brabham Climax,7:43.800,
,Italy,Jean-Pierre  Beltoise  BEL,Matra Ford,1:25.200,
,Canada,Jacky  Ickx  ICK,Brabham Climax,1:18.100,
,United States,Jochen  Rindt  RIN,Lotus Ford,1:04.340,
,Mexico,Jacky  Ickx  ICK,Brabham Climax,1:43.050,
