Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,Gilles  Villeneuve  VIL,Ferrari,1:49.760,
,Brazil,Carlos  Reutemann  REU,Ferrari,1:43.070,
,South Africa,Mario  Andretti  AND,Lotus Ford,1:17.090,
,USA West,Alan Jones  JON,Williams Ford,1:22.215,
,Monaco,Niki  Lauda  LAU,Brabham Alfa Romeo,1:28.650,
,Belgium,Ronnie  Peterson  PET,Lotus Ford,1:23.130,
,Spain,Mario  Andretti  AND,Lotus Ford,1:20.060,
,Sweden,Niki  Lauda  LAU,Brabham Alfa Romeo,1:24.836,
,France,Carlos  Reutemann  REU,Ferrari,1:48.560,
,Great Britain,Niki  Lauda  LAU,Brabham Alfa Romeo,1:18.600,
,Germany,Ronnie  Peterson  PET,Lotus Ford,1:55.620,
,Austria,Ronnie  Peterson  PET,Lotus Ford,1:43.120,
,Netherlands,Niki  Lauda  LAU,Brabham Alfa Romeo,1:19.570,
,Italy,Mario  Andretti  AND,Lotus Ford,1:38.230,
,USA East,Jean-Pierre  Jarier  JAR,Lotus Ford,1:39.557,
,Canada,Alan Jones  JON,Williams Ford,1:38.072,
