Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,Jackie  Stewart  STE,Tyrrell Ford,1:13.660,
,South Africa,Mike  Hailwood  HAI,Surtees Ford,1:18.900,
,Spain,Jacky  Ickx  ICK,Ferrari,1:21.010,
,Monaco,Jean-Pierre  Beltoise  BEL,BRM,1:40.000,
,Belgium,Chris  Amon  AMO,Matra,1:12.120,
,France,Chris  Amon  AMO,Matra,2:53.900,
,Great Britain,Jackie  Stewart  STE,Tyrrell Ford,1:24.000,
,Germany,Jacky  Ickx  ICK,Ferrari,7:13.600,
,Austria,Denny  Hulme  HUL,McLaren Ford,1:38.320,
,Italy,Jacky  Ickx  ICK,Ferrari,1:36.300,
,Canada,Jackie  Stewart  STE,Tyrrell Ford,1:15.700,
,United States,Jackie  Stewart  STE,Tyrrell Ford,1:41.644,
