Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,James  Hunt  HUN,McLaren Ford,1:51.060,
,Brazil,James  Hunt  HUN,McLaren Ford,2:34.550,
,South Africa,John  Watson  WAT,Brabham Alfa Romeo,1:17.630,
,USA West,Niki  Lauda  LAU,Ferrari,1:22.753,
,Spain,Jacques  Laffite  LAF,Ligier Matra,1:20.810,
,Monaco,Jody  Scheckter  SCH,Wolf Ford,1:31.070,
,Belgium,Gunnar  Nilsson  NIL,Lotus Ford,1:27.540,
,Sweden,Mario  Andretti  AND,Lotus Ford,1:27.607,
,France,Mario  Andretti  AND,Lotus Ford,1:13.750,
,Great Britain,James  Hunt  HUN,McLaren Ford,1:19.600,
,Germany,Niki  Lauda  LAU,Ferrari,1:55.990,
,Austria,John  Watson  WAT,Brabham Alfa Romeo,1:40.960,
,Netherlands,Niki  Lauda  LAU,Ferrari,1:19.990,
,Italy,Mario  Andretti  AND,Lotus Ford,1:39.100,
,USA East,Ronnie  Peterson  PET,Tyrrell Ford,1:51.854,
,Canada,Mario  Andretti  AND,Lotus Ford,1:13.299,
,Japan,Jody  Scheckter  SCH,Wolf Ford,1:14.300,
