Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,Clay  Regazzoni  REG,Ferrari,1:52.100,
,Brazil,Clay  Regazzoni  REG,Ferrari,2:36.050,
,South Africa,Carlos  Reutemann  REU,Brabham Ford,1:18.160,
,Spain,Niki  Lauda  LAU,Ferrari,1:20.830,
,Belgium,Denny  Hulme  HUL,McLaren Ford,1:11.310,
,Monaco,Ronnie  Peterson  PET,Lotus Ford,1:27.900,
,Sweden,Patrick  Depailler  DEP,Tyrrell Ford,1:27.262,
,Netherlands,Ronnie  Peterson  PET,Lotus Ford,1:21.440,
,France,Jody  Scheckter  SCH,Tyrrell Ford,1:00.000,
,Great Britain,Niki  Lauda  LAU,Ferrari,1:21.100,
,Germany,Jody  Scheckter  SCH,Tyrrell Ford,7:11.100,
,Austria,Clay  Regazzoni  REG,Ferrari,1:37.220,
,Italy,Carlos  Pace  PAC,Brabham Ford,1:34.200,
,Canada,Niki  Lauda  LAU,Ferrari,1:13.659,
,United States,Carlos  Pace  PAC,Brabham Ford,1:40.608,
