Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,South Africa,Jim  Clark  CLA,Lotus Ford,1:23.700,
,Spain,Jean-Pierre  Beltoise  BEL,Matra Ford,1:28.300,
,Monaco,Richard  Attwood  ATT,BRM,1:28.100,
,Belgium,John  Surtees  SUR,Honda,3:30.500,
,Netherlands,Jean-Pierre  Beltoise  BEL,Matra Ford,1:45.910,
,France,Pedro  Rodriguez  ROD,BRM,2:11.500,
,Great Britain,Jo  Siffert  SIF,Lotus Ford,1:29.700,
,Germany,Jackie  Stewart  STE,Matra Ford,9:36.000,
,Italy,Jackie  Oliver  OLI,Lotus Ford,1:26.500,
,Canada,Jo  Siffert  SIF,Lotus Ford,1:35.100,
,United States,Jackie  Stewart  STE,Matra Ford,1:05.220,
,Mexico,Jo  Siffert  SIF,Lotus Ford,1:44.230,
