Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Michael  Schumacher  MSC,Ferrari,1:28.214,
,Malaysia,Mika  Hakkinen  HAK,McLaren Mercedes,1:40.962,
,Brazil,Ralf  Schumacher  RSC,Williams BMW,1:15.693,
,San Marino,Ralf  Schumacher  RSC,Williams BMW,1:25.524,
,Spain,Michael  Schumacher  MSC,Ferrari,1:21.151,
,Austria,David  Coulthard  COU,McLaren Mercedes,1:10.843,
,Monaco,David  Coulthard  COU,McLaren Mercedes,1:19.424,
,Canada,Ralf  Schumacher  RSC,Williams BMW,1:17.205,
,Europe,Juan Pablo  Montoya  MOY,Williams BMW,1:18.354,
,France,David  Coulthard  COU,McLaren Mercedes,1:16.088,
,Great Britain,Mika  Hakkinen  HAK,McLaren Mercedes,1:23.405,
,Germany,Juan Pablo  Montoya  MOY,Williams BMW,1:41.808,
,Hungary,Mika  Hakkinen  HAK,McLaren Mercedes,1:16.723,
,Belgium,Michael  Schumacher  MSC,Ferrari,1:49.758,
,Italy,Ralf  Schumacher  RSC,Williams BMW,1:25.073,
,United States,Juan Pablo  Montoya  MOY,Williams BMW,1:14.448,
,Japan,Ralf  Schumacher  RSC,Williams BMW,1:36.944,
