Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,Jose Froilan  Gonzalez  GON,Ferrari,1:48.200,
,Indianapolis 500,Jack  McGrath  MCG,Kurtis Kraft Offenhauser,1:04.040,
,Belgium,Juan Manuel  Fangio  FAN,Maserati,4:25.500,
,France,Hans Herrmann  HER,Mercedes-Benz,2:32.900,
,Great Britain,Alberto  Ascari  ASC,Maserati,1:50.000,
,Germany,Karl  Kling  KLI,Mercedes-Benz,9:55.100,
,Switzerland,Juan Manuel  Fangio  FAN,Mercedes-Benz,2:39.700,
,Italy,Jose Froilan  Gonzalez  GON,Ferrari,2:00.800,
,Spain,Alberto  Ascari  ASC,Lancia,2:20.400,
