Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Monaco,John  Surtees  SUR,Ferrari,1:34.500,
,Belgium,Jim  Clark  CLA,Lotus Climax,3:58.100,
,Netherlands,Jim  Clark  CLA,Lotus Climax,1:33.700,
,France,Jim  Clark  CLA,Lotus Climax,2:21.600,
,Great Britain,John  Surtees  SUR,Ferrari,1:36.000,
,Germany,John  Surtees  SUR,Ferrari,8:47.000,
,Italy,Jim  Clark  CLA,Lotus Climax,1:38.900,
,United States,Jim  Clark  CLA,Lotus Climax,1:14.500,
,Mexico,Jim  Clark  CLA,Lotus Climax,1:58.100,
,South Africa,Dan  Gurney  GUR,Brabham Climax,1:29.100,
