Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Monaco,Lorenzo  Bandini  BAN,Ferrari,1:29.800,
,Belgium,John  Surtees  SUR,Ferrari,4:18.700,
,France,Lorenzo  Bandini  BAN,Ferrari,2:11.300,
,Great Britain,Jack  Brabham  BRA,Brabham Climax,1:37.000,
,Netherlands,Denny  Hulme  HUL,Brabham Climax,1:30.600,
,Germany,John  Surtees  SUR,Cooper Maserati,8:49.000,
,Italy,Ludovico  Scarfiotti  SCA,Ferrari,1:32.400,
,United States,John  Surtees  SUR,Cooper Maserati,1:09.670,
,Mexico,Richie  Ginther  GIN,Honda,1:53.750,
