Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,Stirling  Moss  MOS,Cooper Climax,1:38.900,
,Monaco,Bruce  McLaren  MCL,Lotus Climax,1:36.200,
,Indianapolis 500,Jim  Rathmann  RAT,Watson Offenhauser,1:01.590,
,Netherlands,Stirling  Moss  MOS,Lotus Climax,1:33.800,
,Belgium,Phil  Hill  HIL,Ferrari,3:51.900,
,France,Jack  Brabham  BRA,Cooper Climax,2:17.500,
,Great Britain,Graham  Hill  HIL,BRM,1:34.400,
,Portugal,John  Surtees  SUR,Lotus Climax,2:27.530,
,Italy,Phil  Hill  HIL,Ferrari,2:43.600,
,United States,Jack  Brabham  BRA,Cooper Climax,1:56.300,
