Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,South Africa,Nigel  Mansell  MAN,Williams Renault,1:17.578,
,Mexico,Gerhard  Berger  BER,McLaren Honda,1:17.711,
,Brazil,Riccardo  Patrese  PAT,Williams Renault,1:19.490,
,Spain,Nigel  Mansell  MAN,Williams Renault,1:42.503,
,San Marino,Riccardo  Patrese  PAT,Williams Renault,1:26.100,
,Monaco,Nigel  Mansell  MAN,Williams Renault,1:21.598,
,Canada,Gerhard  Berger  BER,McLaren Honda,1:22.325,
,France,Nigel  Mansell  MAN,Williams Renault,1:17.070,
,Great Britain,Nigel  Mansell  MAN,Williams Renault,1:22.539,
,Germany,Riccardo  Patrese  PAT,Williams Renault,1:41.591,
,Hungary,Nigel  Mansell  MAN,Williams Renault,1:18.308,
,Belgium,Michael  Schumacher  MSC,Benetton Ford,1:53.791,
,Italy,Nigel  Mansell  MAN,Williams Renault,1:26.119,
,Portugal,Ayrton  Senna  SEN,McLaren Honda,1:16.272,
,Japan,Nigel  Mansell  MAN,Williams Renault,1:40.646,
,Australia,Michael  Schumacher  MSC,Benetton Ford,1:16.078,
