Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Mika  Hakkinen  HAK,McLaren Mercedes,1:31.649,
,Brazil,Mika  Hakkinen  HAK,McLaren Mercedes,1:19.337,
,Argentina,Alexander  Wurz  WUR,Benetton Playlife,1:28.179,
,San Marino,Michael  Schumacher  MSC,Ferrari,1:29.345,
,Spain,Mika  Hakkinen  HAK,McLaren Mercedes,1:24.275,
,Monaco,Mika  Hakkinen  HAK,McLaren Mercedes,1:22.948,
,Canada,Michael  Schumacher  MSC,Ferrari,1:19.379,
,France,David  Coulthard  COU,McLaren Mercedes,1:17.523,
,Great Britain,Michael  Schumacher  MSC,Ferrari,1:35.704,
,Austria,David  Coulthard  COU,McLaren Mercedes,1:12.878,
,Germany,David  Coulthard  COU,McLaren Mercedes,1:46.116,
,Hungary,Michael  Schumacher  MSC,Ferrari,1:19.286,
,Belgium,Michael  Schumacher  MSC,Ferrari,2:03.766,
,Italy,Mika  Hakkinen  HAK,McLaren Mercedes,1:25.139,
,Luxembourg,Mika  Hakkinen  HAK,McLaren Mercedes,1:20.450,
,Japan,Michael  Schumacher  MSC,Ferrari,1:40.190,
