Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Monaco,Jack  Brabham  BRA,Cooper Climax,1:40.400,
,Indianapolis 500,Johnny  Thomson  THO,Lesovsky Offenhauser,1:01.890,
,Netherlands,Stirling  Moss  MOS,Cooper Climax,1:36.700,
,France,Stirling  Moss  MOS,BRM,2:22.800,
,Great Britain,Stirling  Moss  MOS,BRM,1:57.000,
,Germany,Tony  Brooks  BRO,Ferrari,2:04.500,
,Portugal,Stirling  Moss  MOS,Cooper Climax,2:05.070,
,Italy,Phil  Hill  HIL,Ferrari,1:40.400,
,United States,Maurice Trintignant  TRI,Cooper Climax,3:05.000,
