Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,Juan Manuel  Fangio  FAN,Maserati,1:41.800,
,Monaco,Mike  Hawthorn  HAW,Ferrari,1:40.600,
,Netherlands,Stirling  Moss  MOS,Vanwall,1:37.600,
,Indianapolis 500,Tony Bettenhausen  BET,Epperly Offenhauser,1:02.370,
,Belgium,Mike  Hawthorn  HAW,Ferrari,3:58.300,
,France,Mike  Hawthorn  HAW,Ferrari,2:24.900,
,Great Britain,Mike  Hawthorn  HAW,Ferrari,1:40.800,
,Germany,Stirling  Moss  MOS,Vanwall,9:09.200,
,Portugal,Mike  Hawthorn  HAW,Ferrari,2:32.270,
,Italy,Phil  Hill  HIL,Ferrari,1:42.900,
,Morocco,Stirling  Moss  MOS,Vanwall,2:22.500,
