Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Netherlands,Bruce  McLaren  MCL,Cooper Climax,1:34.400,
,Monaco,Jim  Clark  CLA,Lotus Climax,1:35.500,
,Belgium,Jim  Clark  CLA,Lotus Climax,3:55.600,
,France,Graham  Hill  HIL,BRM,2:16.900,
,Great Britain,Jim  Clark  CLA,Lotus Climax,1:55.000,
,Germany,Graham  Hill  HIL,BRM,10:12.200,
,Italy,Graham  Hill  HIL,BRM,1:42.300,
,United States,Jim  Clark  CLA,Lotus Climax,1:15.000,
,South Africa,Jim  Clark  CLA,Lotus Climax,1:31.000,
