Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Nico  Rosberg  ROS,Mercedes,1:32.478,
,Malaysia,Lewis  Hamilton  HAM,Mercedes,1:43.066,
,Bahrain,Nico  Rosberg  ROS,Mercedes,1:37.020,
,China,Nico  Rosberg  ROS,Mercedes,1:40.402,
,Spain,Sebastian  Vettel  VET,Red Bull Racing Renault,1:28.918,
,Monaco,Kimi  Räikkönen  RAI,Ferrari,1:18.479,
,Canada,Felipe  Massa  MAS,Williams Mercedes,1:18.504,
,Austria,Sergio  Perez  PER,Force India Mercedes,1:12.142,
,Great Britain,Lewis  Hamilton  HAM,Mercedes,1:37.176,
,Germany,Lewis  Hamilton  HAM,Mercedes,1:19.908,
,Hungary,Nico  Rosberg  ROS,Mercedes,1:25.724,
,Belgium,Nico  Rosberg  ROS,Mercedes,1:50.511,
,Italy,Lewis  Hamilton  HAM,Mercedes,1:28.004,
,Singapore,Lewis  Hamilton  HAM,Mercedes,1:50.417,
,Japan,Lewis  Hamilton  HAM,Mercedes,1:51.600,
,Russia,Valtteri  Bottas  BOT,Williams Mercedes,1:40.896,
,United States,Sebastian  Vettel  VET,Red Bull Racing Renault,1:41.379,
,Brazil,Lewis  Hamilton  HAM,Mercedes,1:13.555,
,Abu Dhabi,Daniel  Ricciardo  RIC,Red Bull Racing Renault,1:44.496,
