Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,South Africa,John  Surtees  SUR,McLaren Ford,1:20.800,
,Spain,Jack  Brabham  BRA,Brabham Ford,1:24.300,
,Monaco,Jochen  Rindt  RIN,Lotus Ford,1:23.200,
,Belgium,Chris  Amon  AMO,March Ford,3:27.400,
,Netherlands,Jacky  Ickx  ICK,Ferrari,1:19.230,
,France,Jack  Brabham  BRA,Brabham Ford,3:00.750,
,Great Britain,Jack  Brabham  BRA,Brabham Ford,1:25.900,
,Germany,Jacky  Ickx  ICK,Ferrari,2:00.500,
,Austria,Jacky  Ickx  ICK,Ferrari,1:40.400,
,Italy,Clay  Regazzoni  REG,Ferrari,1:25.200,
,Canada,Clay  Regazzoni  REG,Ferrari,1:32.200,
,United States,Jacky  Ickx  ICK,Ferrari,1:02.740,
,Mexico,Jacky  Ickx  ICK,Ferrari,1:43.110,
