Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Brazil,Alain  Prost  PRO,McLaren TAG,1:36.702,
,Portugal,Ayrton  Senna  SEN,Lotus Renault,1:44.121,
,San Marino,Michele  Alboreto  ALB,Ferrari,1:30.961,
,Monaco,Michele  Alboreto  ALB,Ferrari,1:22.637,
,Canada,Ayrton  Senna  SEN,Lotus Renault,1:27.445,
,Detroit,Ayrton  Senna  SEN,Lotus Renault,1:45.612,
,France,Keke  Rosberg  ROS,Williams Honda,1:39.914,
,Great Britain,Alain  Prost  PRO,McLaren TAG,1:09.886,
,Germany,Niki  Lauda  LAU,McLaren TAG,1:22.806,
,Austria,Alain  Prost  PRO,McLaren TAG,1:29.241,
,Netherlands,Alain  Prost  PRO,McLaren TAG,1:16.538,
,Italy,Nigel  Mansell  MAN,Williams Honda,1:28.283,
,Belgium,Alain  Prost  PRO,McLaren TAG,2:01.730,
,Europe,Jacques  Laffite  LAF,Ligier Renault,1:11.526,
,South Africa,Keke  Rosberg  ROS,Williams Honda,1:08.149,
,Australia,Keke  Rosberg  ROS,Williams Honda,1:23.758,
