Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,United States,Gerhard  Berger  BER,McLaren Honda,1:31.050,
,Brazil,Gerhard  Berger  BER,McLaren Honda,1:19.899,
,San Marino,Alessandro  Nannini  NAN,Benetton Ford,1:27.156,
,Monaco,Ayrton  Senna  SEN,McLaren Honda,1:24.468,
,Canada,Gerhard  Berger  BER,McLaren Honda,1:22.077,
,Mexico,Alain  Prost  PRO,Ferrari,1:17.958,
,France,Nigel  Mansell  MAN,Ferrari,1:08.012,
,Great Britain,Nigel  Mansell  MAN,Ferrari,1:11.291,
,Germany,Thierry  Boutsen  BOU,Williams Renault,1:45.602,
,Hungary,Riccardo  Patrese  PAT,Williams Renault,1:22.058,
,Belgium,Alain  Prost  PRO,Ferrari,1:55.087,
,Italy,Ayrton  Senna  SEN,McLaren Honda,1:26.254,
,Portugal,Riccardo  Patrese  PAT,Williams Renault,1:18.306,
,Spain,Riccardo  Patrese  PAT,Williams Renault,1:24.513,
,Japan,Riccardo  Patrese  PAT,Williams Renault,1:44.233,
,Australia,Nigel  Mansell  MAN,Ferrari,1:18.203,
