Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,South Africa,Denny  Hulme  HUL,Brabham Repco,1:29.900,
,Monaco,Jim  Clark  CLA,Lotus Climax,1:29.500,
,Netherlands,Jim  Clark  CLA,Lotus Climax,1:28.080,
,Belgium,Dan  Gurney  GUR,Eagle Climax,3:31.900,
,France,Graham  Hill  HIL,Lotus Climax,1:36.700,
,Great Britain,Denny  Hulme  HUL,Brabham Repco,1:27.000,
,Germany,Dan  Gurney  GUR,Eagle Climax,8:15.100,
,Canada,Jim  Clark  CLA,Lotus Climax,1:23.100,
,Italy,Jim  Clark  CLA,Lotus Climax,1:28.500,
,United States,Graham  Hill  HIL,Lotus Climax,1:06.000,
,Mexico,Jim  Clark  CLA,Lotus Climax,1:48.130,
