Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,Stirling  Moss  MOS,Maserati,1:44.700,
,Monaco,Juan Manuel  Fangio  FAN,Maserati,1:45.600,
,Indianapolis 500,Jim  Rathmann  RAT,Epperly Offenhauser,1:02.750,
,France,Luigi  Musso  MUS,Ferrari,2:22.400,
,Great Britain,Stirling  Moss  MOS,Vanwall,1:59.200,
,Germany,Juan Manuel  Fangio  FAN,Maserati,9:17.400,
,Pescara,Stirling  Moss  MOS,Vanwall,9:44.600,
,Italy,Tony  Brooks  BRO,Vanwall,1:43.700,
