Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Jenson  Button  BUT,McLaren Mercedes,1:29.187,
,Malaysia,Kimi  Räikkönen  RAI,Lotus Renault,1:40.722,
,China,Kamui  Kobayashi  KOB,Sauber Ferrari,1:39.960,
,Bahrain,Sebastian  Vettel  VET,Red Bull Racing Renault,1:36.379,
,Spain,Romain  Grosjean  GRO,Lotus Renault,1:26.250,
,Monaco,Sergio  Perez  PER,Sauber Ferrari,1:17.296,
,Canada,Sebastian  Vettel  VET,Red Bull Racing Renault,1:15.752,
,Europe,Nico  Rosberg  ROS,Mercedes,1:42.163,
,Great Britain,Kimi  Räikkönen  RAI,Lotus Renault,1:34.661,
,Germany,Michael  Schumacher  MSC,Mercedes,1:18.725,
,Hungary,Sebastian  Vettel  VET,Red Bull Racing Renault,1:24.136,
,Belgium,Bruno  Senna  SEN,Williams Renault,1:52.822,
,Italy,Nico  Rosberg  ROS,Mercedes,1:27.239,
,Singapore,Nico  Hulkenberg  HUL,Force India Mercedes,1:51.033,
,Japan,Sebastian  Vettel  VET,Red Bull Racing Renault,1:35.774,
,South Korea,Mark  Webber  WEB,Red Bull Racing Renault,1:42.037,
,India,Jenson  Button  BUT,McLaren Mercedes,1:28.203,
,Abu Dhabi,Sebastian  Vettel  VET,Red Bull Racing Renault,1:43.964,
,United States,Sebastian  Vettel  VET,Red Bull Racing Renault,1:39.347,
,Brazil,Lewis  Hamilton  HAM,McLaren Mercedes,1:18.069,
