Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Michael  Schumacher  MSC,Ferrari,1:32.112,
,Brazil,Mika  Hakkinen  HAK,McLaren Mercedes,1:18.448,
,San Marino,Michael  Schumacher  MSC,Ferrari,1:28.547,
,Monaco,Mika  Hakkinen  HAK,McLaren Mercedes,1:22.259,
,Spain,Michael  Schumacher  MSC,Ferrari,1:24.982,
,Canada,Eddie  Irvine  IRV,Ferrari,1:20.382,
,France,David  Coulthard  COU,McLaren Mercedes,1:19.227,
,Great Britain,Mika  Hakkinen  HAK,McLaren Mercedes,1:28.309,
,Austria,Mika  Hakkinen  HAK,McLaren Mercedes,1:12.107,
,Germany,David  Coulthard  COU,McLaren Mercedes,1:45.270,
,Hungary,David  Coulthard  COU,McLaren Mercedes,1:20.699,
,Belgium,Mika  Hakkinen  HAK,McLaren Mercedes,1:53.955,
,Italy,Ralf  Schumacher  RSC,Williams Supertec,1:25.579,
,Europe,Mika  Hakkinen  HAK,McLaren Mercedes,1:21.282,
,Malaysia,Heinz-Harald  Frentzen  FRE,Jordan Mugen Honda,1:40.631,
,Japan,Michael  Schumacher  MSC,Ferrari,1:41.319,
