Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Brazil,Nelson  Piquet  PIQ,Williams Honda,1:33.861,
,San Marino,Teo  Fabi  FAB,Benetton Ford,1:29.246,
,Belgium,Alain  Prost  PRO,McLaren TAG,1:57.153,
,Monaco,Ayrton  Senna  SEN,Lotus Honda,1:27.685,
,Detroit,Ayrton  Senna  SEN,Lotus Honda,1:40.464,
,France,Nelson  Piquet  PIQ,Williams Honda,1:09.548,
,Great Britain,Nigel  Mansell  MAN,Williams Honda,1:09.832,
,Germany,Nigel  Mansell  MAN,Williams Honda,1:45.716,
,Hungary,Nelson  Piquet  PIQ,Williams Honda,1:30.149,
,Austria,Nigel  Mansell  MAN,Williams Honda,1:28.318,
,Italy,Ayrton  Senna  SEN,Lotus Honda,1:26.796,
,Portugal,Gerhard  Berger  BER,Ferrari,1:19.282,
,Spain,Gerhard  Berger  BER,Ferrari,1:26.986,
,Mexico,Nelson  Piquet  PIQ,Williams Honda,1:19.132,
,Japan,Alain  Prost  PRO,McLaren TAG,1:43.844,
,Australia,Gerhard  Berger  BER,Ferrari,1:20.416,
