Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Monaco,Richie  Ginther  GIN,Ferrari,1:36.300,
,Netherlands,Jim  Clark  CLA,Lotus Climax,1:35.500,
,Belgium,Richie  Ginther  GIN,Ferrari,3:59.800,
,France,Phil  Hill  HIL,Ferrari,2:27.100,
,Great Britain,Tony  Brooks  BRO,BRM Climax,1:57.800,
,Germany,Phil  Hill  HIL,Ferrari,8:57.800,
,Italy,Giancarlo  Baghetti  BAG,Ferrari,2:48.400,
,United States,Jack  Brabham  BRA,Cooper Climax,1:18.200,
