Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,South Africa,Alain  Prost  PRO,Williams Renault,1:19.492,
,Brazil,Michael  Schumacher  MSC,Benetton Ford,1:20.024,
,Europe,Ayrton  Senna  SEN,McLaren Ford,1:18.029,
,San Marino,Alain  Prost  PRO,Williams Renault,1:26.128,
,Spain,Michael  Schumacher  MSC,Benetton Ford,1:20.989,
,Monaco,Alain  Prost  PRO,Williams Renault,1:23.604,
,Canada,Michael  Schumacher  MSC,Benetton Ford,1:21.500,
,France,Michael  Schumacher  MSC,Benetton Ford,1:19.256,
,Great Britain,Damon  Hill  HIL,Williams Renault,1:22.515,
,Germany,Michael  Schumacher  MSC,Benetton Ford,1:41.859,
,Hungary,Alain  Prost  PRO,Williams Renault,1:19.633,
,Belgium,Alain  Prost  PRO,Williams Renault,1:51.095,
,Italy,Damon  Hill  HIL,Williams Renault,1:23.575,
,Portugal,Damon  Hill  HIL,Williams Renault,1:14.859,
,Japan,Alain  Prost  PRO,Williams Renault,1:41.176,
,Australia,Damon  Hill  HIL,Williams Renault,1:15.381,
