Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,James  Hunt  HUN,Hesketh Ford,1:50.910,
,Brazil,Jean-Pierre  Jarier  JAR,Shadow Matra,2:34.160,
,South Africa,Carlos  Pace  PAC,Brabham Ford,1:17.200,
,Spain,Mario  Andretti  AND,Parnelli Ford,1:25.100,
,Monaco,Patrick  Depailler  DEP,Tyrrell Ford,1:28.670,
,Belgium,Clay  Regazzoni  REG,Ferrari,1:26.760,
,Sweden,Niki  Lauda  LAU,Ferrari,1:28.267,
,Netherlands,Niki  Lauda  LAU,Ferrari,1:21.540,
,France,Jochen  Mass  MAS,McLaren Ford,1:50.600,
,Great Britain,Clay  Regazzoni  REG,Ferrari,1:20.900,
,Germany,Clay  Regazzoni  REG,Ferrari,7:06.400,
,Austria,Vittorio  Brambilla  BRA,March Ford,1:53.900,
,Italy,Clay  Regazzoni  REG,Ferrari,1:33.100,
,United States,Emerson  Fittipaldi  FIT,McLaren Ford,1:43.374,
