Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Brazil,Riccardo  Patrese  PAT,Williams Renault,1:32.507,
,San Marino,Alain  Prost  PRO,McLaren Honda,1:26.795,
,Monaco,Alain  Prost  PRO,McLaren Honda,1:25.501,
,Mexico,Nigel  Mansell  MAN,Ferrari,1:20.420,
,United States,Ayrton  Senna  SEN,McLaren Honda,1:33.969,
,Canada,Jonathan Palmer  PAL,Tyrrell Ford,1:31.925,
,France,Mauricio  Gugelmin  GUG,March Judd,1:12.090,
,Great Britain,Nigel  Mansell  MAN,Ferrari,1:12.017,
,Germany,Ayrton  Senna  SEN,McLaren Honda,1:45.884,
,Hungary,Nigel  Mansell  MAN,Ferrari,1:22.637,
,Belgium,Alain  Prost  PRO,McLaren Honda,2:11.571,
,Italy,Alain  Prost  PRO,McLaren Honda,1:28.107,
,Portugal,Gerhard  Berger  BER,Ferrari,1:18.986,
,Spain,Ayrton  Senna  SEN,McLaren Honda,1:25.779,
,Japan,Alain  Prost  PRO,McLaren Honda,1:43.506,
,Australia,Satoru  Nakajima  NAK,Lotus Judd,1:38.480,
