Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Argentina,Emerson  Fittipaldi  FIT,Lotus Ford,1:11.220,
,Brazil,Emerson  Fittipaldi  FIT,Lotus Ford,2:35.000,
,South Africa,Emerson  Fittipaldi  FIT,Lotus Ford,1:17.100,
,Spain,Ronnie  Peterson  PET,Lotus Ford,1:23.800,
,Belgium,Francois Cevert CEV,Tyrrell Ford,1:25.420,
,Monaco,Emerson  Fittipaldi  FIT,Lotus Ford,1:28.100,
,Sweden,Denny  Hulme  HUL,McLaren Ford,1:26.146,
,France,Denny  Hulme  HUL,McLaren Ford,1:50.990,
,Great Britain,James  Hunt  HUN,March Ford,1:18.600,
,Netherlands,Ronnie  Peterson  PET,Lotus Ford,1:20.310,
,Germany,Carlos  Pace  PAC,Surtees Ford,7:11.400,
,Austria,Carlos  Pace  PAC,Surtees Ford,1:37.290,
,Italy,Jackie  Stewart  STE,Tyrrell Ford,1:35.300,
,Canada,Emerson  Fittipaldi  FIT,Lotus Ford,1:15.496,
,United States,James  Hunt  HUN,March Ford,1:41.652,
