Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,USA West,Alan Jones  JON,Williams Ford,1:20.901,
,Brazil,Marc  Surer  SUR,Ensign Ford,1:54.302,
,Argentina,Nelson  Piquet  PIQ,Brabham Ford,1:45.287,
,San Marino,Gilles  Villeneuve  VIL,Ferrari,1:48.064,
,Belgium,Carlos  Reutemann  REU,Williams Ford,1:23.300,
,Monaco,Alan Jones  JON,Williams Ford,1:27.470,
,Spain,Alan Jones  JON,Williams Ford,1:17.818,
,France,Alain  Prost  PRO,Renault,1:09.140,
,Great Britain,Rene  Arnoux  ARN,Renault,1:15.067,
,Germany,Alan Jones  JON,Williams Ford,1:52.420,
,Austria,Jacques  Laffite  LAF,Ligier Matra,1:37.620,
,Netherlands,Alan Jones  JON,Williams Ford,1:21.830,
,Italy,Carlos  Reutemann  REU,Williams Ford,1:37.528,
,Canada,John  Watson  WAT,McLaren Ford,1:49.475,
,Las Vegas,Didier  Pironi  PIR,Ferrari,1:20.156,
