Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Bahrain,Fernando  Alonso  ALO,Ferrari,1:58.287,
,Australia,Mark  Webber  WEB,RBR Renault,1:28.358,
,Malaysia,Mark  Webber  WEB,RBR Renault,1:37.054,
,China,Lewis  Hamilton  HAM,McLaren Mercedes,1:42.061,
,Spain,Lewis  Hamilton  HAM,McLaren Mercedes,1:24.357,
,Monaco,Sebastian  Vettel  VET,RBR Renault,1:15.192,
,Turkey,Vitaly  Petrov  PET,Renault,1:29.165,
,Canada,Robert  Kubica  KUB,Renault,1:16.972,
,Europe,Jenson  Button  BUT,McLaren Mercedes,1:38.766,
,Great Britain,Fernando  Alonso  ALO,Ferrari,1:30.874,
,Germany,Sebastian  Vettel  VET,RBR Renault,1:15.824,
,Hungary,Sebastian  Vettel  VET,RBR Renault,1:22.362,
,Belgium,Lewis  Hamilton  HAM,McLaren Mercedes,1:49.069,
,Italy,Fernando  Alonso  ALO,Ferrari,1:24.139,
,Singapore,Fernando  Alonso  ALO,Ferrari,1:47.976,
,Japan,Mark  Webber  WEB,RBR Renault,1:33.474,
,South Korea,Fernando  Alonso  ALO,Ferrari,1:50.257,
,Brazil,Lewis  Hamilton  HAM,McLaren Mercedes,1:13.851,
,Abu Dhabi,Lewis  Hamilton  HAM,McLaren Mercedes,1:41.274,
