Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Brazil,Gerhard  Berger  BER,Ferrari,1:32.943,
,San Marino,Alain  Prost  PRO,McLaren Honda,1:29.685,
,Monaco,Ayrton  Senna  SEN,McLaren Honda,1:26.321,
,Mexico,Alain  Prost  PRO,McLaren Honda,1:18.608,
,Canada,Ayrton  Senna  SEN,McLaren Honda,1:24.973,
,Detroit,Alain  Prost  PRO,McLaren Honda,1:44.836,
,France,Alain  Prost  PRO,McLaren Honda,1:11.737,
,Great Britain,Nigel  Mansell  MAN,Williams Judd,1:23.308,
,Germany,Alessandro  Nannini  NAN,Benetton Ford,2:03.032,
,Hungary,Alain  Prost  PRO,McLaren Honda,1:30.639,
,Belgium,Gerhard  Berger  BER,Ferrari,2:00.772,
,Italy,Michele  Alboreto  ALB,Ferrari,1:29.070,
,Portugal,Gerhard  Berger  BER,Ferrari,1:21.961,
,Spain,Alain  Prost  PRO,McLaren Honda,1:27.845,
,Japan,Ayrton  Senna  SEN,McLaren Honda,1:46.326,
,Australia,Alain  Prost  PRO,McLaren Honda,1:21.216,
