Unnamed: 0,Grand Prix,Driver,Car,Time,Unnamed: 5
,Australia,Heinz-Harald  Frentzen  FRE,Williams Renault,1:30.585,
,Brazil,Jacques  Villeneuve  VIL,Williams Renault,1:18.397,
,Argentina,Gerhard  Berger  BER,Benetton Renault,1:27.981,
,San Marino,Heinz-Harald  Frentzen  FRE,Williams Renault,1:25.531,
,Monaco,Michael  Schumacher  MSC,Ferrari,1:53.315,
,Spain,Giancarlo  Fisichella  FIS,Jordan Peugeot,1:22.242,
,Canada,David  Coulthard  COU,McLaren Mercedes,1:19.635,
,France,Michael  Schumacher  MSC,Ferrari,1:17.910,
,Great Britain,Michael  Schumacher  MSC,Ferrari,1:24.475,
,Germany,Gerhard  Berger  BER,Benetton Renault,1:45.747,
,Hungary,Heinz-Harald  Frentzen  FRE,Williams Renault,1:18.372,
,Belgium,Jacques  Villeneuve  VIL,Williams Renault,1:52.692,
,Italy,Mika  Hakkinen  HAK,McLaren Mercedes,1:24.808,
,Austria,Jacques  Villeneuve  VIL,Williams Renault,1:11.814,
,Luxembourg,Heinz-Harald  Frentzen  FRE,Williams Renault,1:18.805,
,Japan,Heinz-Harald  Frentzen  FRE,Williams Renault,1:38.942,
,Europe,Heinz-Harald  Frentzen  FRE,Williams Renault,1:23.135,
