Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Brawn Mercedes,172,
,2,RBR Renault,153,
,3,McLaren Mercedes,71,
,4,Ferrari,70,
,5,Toyota,59,
,6,Sauber BMW,36,
,7,Williams Toyota,34,
,8,Renault,26,
,9,Force India Mercedes,13,
,10,STR Ferrari,8,
