Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Vanwall,48,
,2,Ferrari,40,
,3,Cooper Climax,31,
,4,BRM,18,
,5,Maserati,6,
,6,Lotus Climax,3,
