Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Ferrari,72,
,2,Brabham Ford,54,
,3,McLaren Ford,53,
,4,Hesketh Ford,33,
,5,Tyrrell Ford,25,
,6,Shadow Ford,9,
,7,Lotus Ford,9,
,8,March Ford,7,
,9,Frank Williams Racing Cars/Williams,6,
,10,Parnelli Ford,5,
,11,Hill Ford,3,
,12,Penske Ford,2,
,13,Ensign Ford,1,
