Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Mercedes,765,
,2,Red Bull Racing TAG Heuer,468,
,3,Ferrari,398,
,4,Force India Mercedes,173,
,5,Williams Mercedes,138,
,6,McLaren Honda,76,
,7,Toro Rosso Ferrari,63,
,8,Haas Ferrari,29,
,9,Renault,8,
,10,Sauber Ferrari,2,
,11,MRT Mercedes,1,
