Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Lotus Ford,86,
,2,Ferrari,58,
,3,Brabham Alfa Romeo,53,
,4,Tyrrell Ford,38,
,5,Wolf Ford,24,
,6,Ligier Matra,19,
,7,Fittipaldi Ford,17,
,8,McLaren Ford,15,
,9,Williams Ford,11,
,10,Arrows Ford,11,
,11,Shadow Ford,6,
,12,Renault,3,
,13,Surtees Ford,1,
,14,Ensign Ford,1,
