Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Mercedes,701,
,2,Red Bull Racing Renault,405,
,3,Williams Mercedes,320,
,4,Ferrari,216,
,5,McLaren Mercedes,181,
,6,Force India Mercedes,155,
,7,STR Renault,30,
,8,Lotus Renault,10,
,9,Marussia Ferrari,2,
,10,Sauber Ferrari,0,
,11,Caterham Renault,0,
