Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,McLaren Mercedes,156,
,2,Ferrari,133,
,3,Williams Mecachrome,38,
,4,Jordan Mugen Honda,34,
,5,Benetton Playlife,33,
,6,Sauber Petronas,10,
,7,Arrows,6,
,8,Stewart Ford,5,
,9,Prost Peugeot,1,
