Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Lotus Ford,59,
,2,Ferrari,52,
,3,March Ford,48,
,4,Brabham Ford,35,
,5,McLaren Ford,35,
,6,BRM,23,
,7,Matra,23,
,8,Surtees Ford,3,
