Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Cooper Climax,48,
,2,Lotus Climax,34,
,3,Ferrari,26,
,4,BRM,8,
,5,Cooper Maserati,3,
,6,Cooper Castellotti,3,
