Unnamed: 0,Pos,Team,PTS,Unnamed: 4
,1,Mercedes,668,
,2,Ferrari,522,
,3,Red Bull Racing TAG Heuer,368,
,4,Force India Mercedes,187,
,5,Williams Mercedes,83,
,6,Renault,57,
,7,Toro Rosso,53,
,8,Haas Ferrari,47,
,9,McLaren Honda,30,
,10,Sauber Ferrari,5,
