Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Michael  Schumacher  MSC,GER,Benetton Ford,92,
,2,Damon  Hill  HIL,GBR,Williams Renault,91,
,3,Gerhard  Berger  BER,AUT,Ferrari,41,
,4,Mika  Hakkinen  HAK,FIN,McLaren Peugeot,26,
,5,Jean  Alesi  ALE,FRA,Ferrari,24,
,6,Rubens  Barrichello  BAR,BRA,Jordan Hart,19,
,7,Martin  Brundle  BRU,GBR,McLaren Peugeot,16,
,8,David  Coulthard  COU,GBR,Williams Renault,14,
,9,Nigel  Mansell  MAN,GBR,Williams Renault,13,
,10,Jos  Verstappen  VER,NED,Benetton Ford,10,
,11,Olivier  Panis  PAN,FRA,Ligier Renault,9,
,12,Mark  Blundell  BLU,GBR,Tyrrell Yamaha,8,
,13,Heinz-Harald  Frentzen  FRE,GER,Sauber Mercedes,7,
,14,Nicola  Larini  LAR,ITA,Ferrari,6,
,15,Christian  Fittipaldi  FIT,BRA,Footwork Ford,6,
,16,Eddie  Irvine  IRV,GBR,Jordan Hart,6,
,17,Ukyo  Katayama  KAT,JPN,Tyrrell Yamaha,5,
,18,Eric  Bernard  BER,FRA,Lotus Mugen Honda,4,
,19,Karl  Wendlinger  WEN,AUT,Sauber Mercedes,4,
,20,Andrea  de Cesaris  DEC,ITA,Sauber Mercedes,4,
,21,Pierluigi  Martini  MAR,ITA,Minardi Ford,4,
,22,Gianni  Morbidelli  MOR,ITA,Footwork Ford,3,
,23,Erik  Comas  COM,FRA,Larrousse Ford,2,
,24,Michele  Alboreto  ALB,ITA,Minardi Ford,1,
,25,Jyrki  Jarvilehto  JAR,FIN,Sauber Mercedes,1,
