Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Alain  Prost  PRO,FRA,McLaren Honda,76,
,2,Ayrton  Senna  SEN,BRA,McLaren Honda,60,
,3,Riccardo  Patrese  PAT,ITA,Williams Renault,40,
,4,Nigel  Mansell  MAN,GBR,Ferrari,38,
,5,Thierry  Boutsen  BOU,BEL,Williams Renault,37,
,6,Alessandro  Nannini  NAN,ITA,Benetton Ford,32,
,7,Gerhard  Berger  BER,AUT,Ferrari,21,
,8,Nelson  Piquet  PIQ,BRA,Lotus Judd,12,
,9,Jean  Alesi  ALE,FRA,Tyrrell Ford,8,
,10,Derek  Warwick  WAR,GBR,Arrows Ford,7,
,11,Stefan  Johansson  JOH,SWE,Onyx Ford,6,
,11,Michele  Alboreto  ALB,ITA,Lola Lamborghini,6,
,11,Eddie Cheever  CHE,USA,Arrows Ford,6,
,14,Johnny  Herbert  HER,GBR,Tyrrell Ford,5,
,15,Pierluigi  Martini  MAR,ITA,Minardi Ford,5,
,16,Andrea  de Cesaris  DEC,ITA,Dallara Ford,4,
,16,Mauricio  Gugelmin  GUG,BRA,March Judd,4,
,16,Stefano  Modena  MOD,ITA,Brabham Judd,4,
,19,Alex  Caffi  CAF,ITA,Dallara Ford,4,
,20,Martin  Brundle  BRU,GBR,Brabham Judd,4,
,21,Christian  Danner  DAN,GER,Rial Ford,3,
,21,Satoru  Nakajima  NAK,JPN,Lotus Judd,3,
,23,Rene  Arnoux  ARN,FRA,Ligier Ford,2,
,23,Emanuele  Pirro  PIR,ITA,Benetton Ford,2,
,25,Jonathan Palmer  PAL,GBR,Tyrrell Ford,2,
,26,Gabriele  Tarquini  TAR,ITA,AGS Ford,1,
,26,Philippe  Alliot  ALL,FRA,Lola Lamborghini,1,
,26,Olivier  Grouillard  GRO,FRA,Ligier Ford,1,
,26,Luis  Perez-Sala  PER,ESP,Minardi Ford,1,
