Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Mika  Hakkinen  HAK,FIN,McLaren Mercedes,76,
,2,Eddie  Irvine  IRV,GBR,Ferrari,74,
,3,Heinz-Harald  Frentzen  FRE,GER,Jordan Mugen Honda,54,
,4,David  Coulthard  COU,GBR,McLaren Mercedes,48,
,5,Michael  Schumacher  MSC,GER,Ferrari,44,
,6,Ralf  Schumacher  RSC,GER,Williams Supertec,35,
,7,Rubens  Barrichello  BAR,BRA,Stewart Ford,21,
,8,Johnny  Herbert  HER,GBR,Stewart Ford,15,
,9,Giancarlo  Fisichella  FIS,ITA,Benetton Playlife,13,
,10,Mika  Salo  SAL,FIN,Ferrari,10,
,11,Jarno  Trulli  TRU,ITA,Prost Peugeot,7,
,12,Damon  Hill  HIL,GBR,Jordan Mugen Honda,7,
,13,Alexander  Wurz  WUR,AUT,Benetton Playlife,3,
,14,Pedro  Diniz  DIN,BRA,Sauber Petronas,3,
,15,Olivier  Panis  PAN,FRA,Prost Peugeot,2,
,16,Jean  Alesi  ALE,FRA,Sauber Petronas,2,
,17,Pedro  de la Rosa  DLR,ESP,Arrows,1,
,18,Marc  Gene  GEN,ESP,Minardi Ford,1,
