Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jackie  Stewart  STE,GBR,Matra Ford,63,
,2,Jacky  Ickx  ICK,BEL,Brabham Ford,37,
,3,Bruce  McLaren  MCL,NZL,McLaren Ford,26,
,4,Jochen  Rindt  RIN,AUT,Lotus Ford,22,
,5,Jean-Pierre  Beltoise  BEL,FRA,Matra Ford,21,
,6,Denny  Hulme  HUL,NZL,McLaren Ford,20,
,7,Graham  Hill  HIL,GBR,Lotus Ford,19,
,8,Piers Courage  COU,GBR,Brabham Ford,16,
,9,Jo  Siffert  SIF,SUI,Lotus Ford,15,
,10,Jack  Brabham  BRA,AUS,Brabham Ford,14,
,11,John  Surtees  SUR,GBR,BRM,6,
,12,Chris  Amon  AMO,NZL,Ferrari,4,
,13,Richard  Attwood  ATT,GBR,,3,
,13,Vic Elford ELF,GBR,McLaren Ford,3,
,13,Pedro  Rodriguez  ROD,MEX,Ferrari,3,
,16,Johnny Servoz-Gavin SER,FRA,Matra Ford,1,
,16,Silvio Moser MOS,SUI,Brabham Ford,1,
,16,Jackie  Oliver  OLI,GBR,BRM,1,
