Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Jackie  Stewart  STE,GBR,Tyrrell Ford,62,
,2,Ronnie  Peterson  PET,SWE,,33,
,3,Francois Cevert CEV,FRA,Tyrrell Ford,26,
,4,Jacky  Ickx  ICK,BEL,Ferrari,19,
,4,Jo  Siffert  SIF,SUI,BRM,19,
,6,Emerson  Fittipaldi  FIT,BRA,Lotus Ford,16,
,7,Clay  Regazzoni  REG,SUI,Ferrari,13,
,8,Mario  Andretti  AND,USA,Ferrari,12,
,9,Peter Gethin GET,GBR,BRM,9,
,9,Pedro  Rodriguez  ROD,MEX,BRM,9,
,9,Chris  Amon  AMO,NZL,Matra,9,
,9,Reine Wisell  WIS,SWE,Lotus Ford,9,
,9,Denny  Hulme  HUL,NZL,McLaren Ford,9,
,14,Tim Schenken  SCH,AUS,Brabham Ford,5,
,14,Howden Ganley GAN,NZL,BRM,5,
,16,Mark  Donohue  DON,USA,,4,
,16,Henri  Pescarolo  PES,FRA,,4,
,18,Mike  Hailwood  HAI,GBR,Surtees Ford,3,
,18,John  Surtees  SUR,GBR,Surtees Ford,3,
,18,Rolf  Stommelen  STO,GER,Surtees Ford,3,
,21,Graham  Hill  HIL,GBR,Brabham Ford,2,
,22,Jean-Pierre  Beltoise  BEL,FRA,Matra,1,
