Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Michael  Schumacher  MSC,GER,Ferrari,93,
,2,Kimi  Räikkönen  RAI,FIN,McLaren Mercedes,91,
,3,Juan Pablo  Montoya  MOY,COL,Williams BMW,82,
,4,Rubens  Barrichello  BAR,BRA,Ferrari,65,
,5,Ralf  Schumacher  RSC,GER,Williams BMW,58,
,6,Fernando  Alonso  ALO,ESP,Renault,55,
,7,David  Coulthard  COU,GBR,McLaren Mercedes,51,
,8,Jarno  Trulli  TRU,ITA,Renault,33,
,9,Jenson  Button  BUT,GBR,BAR Honda,17,
,10,Mark  Webber  WEB,AUS,Jaguar Cosworth,17,
,11,Heinz-Harald  Frentzen  FRE,GER,Sauber Petronas,13,
,12,Giancarlo  Fisichella  FIS,ITA,Jordan Ford,12,
,13,Cristiano  da Matta  DAM,BRA,Toyota,10,
,14,Nick  Heidfeld  HEI,GER,Sauber Petronas,6,
,15,Olivier  Panis  PAN,FRA,Toyota,6,
,16,Jacques  Villeneuve  VIL,CAN,BAR Honda,6,
,17,Marc  Gene  GEN,ESP,Williams BMW,4,
,18,Takuma  Sato  SAT,JPN,BAR Honda,3,
,19,Ralph  Firman  FIR,IRL,Jordan Ford,1,
,20,Justin  Wilson  WIL,GBR,Jaguar Cosworth,1,
,21,Antonio  Pizzonia  PIZ,BRA,Jaguar Cosworth,0,
,22,Jos  Verstappen  VER,NED,Minardi Cosworth,0,
,23,Nicolas  Kiesa  KIE,DEN,Minardi Cosworth,0,
,24,Zsolt  Baumgartner  BAU,HUN,Jordan Ford,0,
