Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Alain  Prost  PRO,FRA,McLaren TAG,72,
,2,Nigel  Mansell  MAN,GBR,Williams Honda,70,
,3,Nelson  Piquet  PIQ,BRA,Williams Honda,69,
,4,Ayrton  Senna  SEN,BRA,Lotus Renault,55,
,5,Stefan  Johansson  JOH,SWE,Ferrari,23,
,6,Keke  Rosberg  ROS,FIN,McLaren TAG,22,
,7,Gerhard  Berger  BER,AUT,Benetton BMW,17,
,8,Jacques  Laffite  LAF,FRA,Ligier Renault,14,
,9,Michele  Alboreto  ALB,ITA,Ferrari,14,
,10,Rene  Arnoux  ARN,FRA,Ligier Renault,14,
,11,Martin  Brundle  BRU,GBR,Tyrrell Renault,8,
,12,Alan Jones  JON,AUS,Lola Ford,4,
,13,Johnny  Dumfries  DUM,GBR,Lotus Renault,3,
,14,Philippe  Streiff  STR,FRA,Tyrrell Renault,3,
,15,Teo  Fabi  FAB,ITA,Benetton BMW,2,
,16,Patrick  Tambay  TAM,FRA,Lola Ford,2,
,17,Riccardo  Patrese  PAT,ITA,Brabham BMW,2,
,18,Philippe  Alliot  ALL,FRA,Ligier Renault,1,
,19,Christian  Danner  DAN,GER,Arrows BMW,1,
