Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Graham  Hill  HIL,GBR,Lotus Ford,48,
,2,Jackie  Stewart  STE,GBR,Matra Ford,36,
,3,Denny  Hulme  HUL,NZL,McLaren Ford,33,
,4,Jacky  Ickx  ICK,BEL,Ferrari,27,
,5,Bruce  McLaren  MCL,NZL,McLaren Ford,22,
,6,Pedro  Rodriguez  ROD,MEX,BRM,18,
,7,Jo  Siffert  SIF,SUI,Lotus Ford,12,
,7,John  Surtees  SUR,GBR,Honda,12,
,9,Jean-Pierre  Beltoise  BEL,FRA,Matra,11,
,10,Chris  Amon  AMO,NZL,Ferrari,10,
,11,Jim  Clark  CLA,GBR,Lotus Ford,9,
,12,Jochen  Rindt  RIN,AUT,Brabham Repco,8,
,13,Richard  Attwood  ATT,GBR,BRM,6,
,13,Johnny Servoz-Gavin SER,FRA,Matra Ford,6,
,13,Jackie  Oliver  OLI,GBR,Lotus Ford,6,
,13,Ludovico  Scarfiotti  SCA,ITA,Cooper BRM,6,
,17,Lucien  Bianchi  BIA,BEL,Cooper BRM,5,
,17,Vic Elford ELF,GBR,Cooper BRM,5,
,19,Brian Redman  RED,GBR,Cooper BRM,4,
,19,Piers Courage  COU,GBR,BRM,4,
,21,Dan  Gurney  GUR,USA,McLaren Ford,3,
,21,Jo  Bonnier  BON,SWE,Honda,3,
,23,Silvio Moser MOS,SUI,Brabham Repco,2,
,23,Jack  Brabham  BRA,AUS,Brabham Repco,2,
