Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Michael  Schumacher  MSC,GER,Benetton Renault,102,
,2,Damon  Hill  HIL,GBR,Williams Renault,69,
,3,David  Coulthard  COU,GBR,Williams Renault,49,
,4,Johnny  Herbert  HER,GBR,Benetton Renault,45,
,5,Jean  Alesi  ALE,FRA,Ferrari,42,
,6,Gerhard  Berger  BER,AUT,Ferrari,31,
,7,Mika  Hakkinen  HAK,FIN,McLaren Mercedes,17,
,8,Olivier  Panis  PAN,FRA,Ligier Mugen Honda,16,
,9,Heinz-Harald  Frentzen  FRE,GER,Sauber Ford,15,
,10,Mark  Blundell  BLU,GBR,McLaren Mercedes,13,
,11,Rubens  Barrichello  BAR,BRA,Jordan Peugeot,11,
,12,Eddie  Irvine  IRV,GBR,Jordan Peugeot,10,
,13,Martin  Brundle  BRU,GBR,Ligier Mugen Honda,7,
,14,Gianni  Morbidelli  MOR,ITA,Footwork Hart,5,
,15,Mika  Salo  SAL,FIN,Tyrrell Yamaha,5,
,16,Jean-Christophe  Boullion  BOU,FRA,Sauber Ford,3,
,17,Aguri  Suzuki  SUZ,JPN,Ligier Mugen Honda,1,
,18,Pedro  Lamy  LAM,POR,Minardi Ford,1,
