Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Denny  Hulme  HUL,NZL,Brabham Repco,51,
,2,Jack  Brabham  BRA,AUS,Brabham Repco,46,
,3,Jim  Clark  CLA,GBR,Lotus Ford,41,
,4,John  Surtees  SUR,GBR,Honda,20,
,4,Chris  Amon  AMO,NZL,Ferrari,20,
,6,Pedro  Rodriguez  ROD,MEX,Cooper Maserati,15,
,6,Graham  Hill  HIL,GBR,Lotus Ford,15,
,8,Dan  Gurney  GUR,USA,Eagle Climax,13,
,9,Jackie  Stewart  STE,GBR,BRM,10,
,10,Mike  Spence  SPE,GBR,BRM,9,
,11,John  Love  LOV,RHO,Cooper Climax,6,
,11,Jochen  Rindt  RIN,AUT,Cooper Maserati,6,
,11,Jo  Siffert  SIF,SUI,Cooper Maserati,6,
,14,Bruce  McLaren  MCL,NZL,McLaren BRM,3,
,14,Jo  Bonnier  BON,SWE,Cooper Maserati,3,
,16,Bob  Anderson  AND,GBR,Brabham Climax,2,
,16,Mike Parkes PAR,GBR,Ferrari,2,
,16,Chris Irwin  IRW,GBR,BRM,2,
,19,Ludovico  Scarfiotti  SCA,ITA,Eagle Weslake,1,
,19,Guy Ligier LIG,FRA,Brabham Repco,1,
,19,Jacky  Ickx  ICK,BEL,Cooper Maserati,1,
