Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Alberto  Ascari  ASC,ITA,Ferrari,36.0,
,2,Nino  Farina  FAR,ITA,Ferrari,24.0,
,3,Piero Taruffi  TAR,ITA,Ferrari,22.0,
,4,Rudi Fischer FIS,SUI,Ferrari,10.0,
,4,Mike  Hawthorn  HAW,GBR,Cooper Bristol,10.0,
,6,Robert Manzon  MAN,FRA,Gordini,9.0,
,7,Troy  Ruttman  RUT,USA,Kuzma Offenhauser,8.0,
,7,Luigi Villoresi  VIL,ITA,Ferrari,8.0,
,9,Jose Froilan  Gonzalez  GON,ARG,Maserati,6.5,
,10,Jim  Rathmann  RAT,USA,Kurtis Kraft Offenhauser,6.0,
,10,Jean  Behra  BEH,FRA,Gordini,6.0,
,12,Sam  Hanks  HAN,USA,Kurtis Kraft Offenhauser,4.0,
,13,Ken Wharton  WHA,GBR,,3.0,
,13,Duane  Carter  CAR,USA,Lesovsky Offenhauser,3.0,
,13,Dennis  Poore  POO,GBR,Connaught Lea Francis,3.0,
,16,Alan  Brown  BRO,GBR,Cooper Bristol,2.0,
,16,Art  Cross  CRO,USA,Kurtis Kraft Offenhauser,2.0,
,16,Paul  Frere  FRE,BEL,Simca-Gordini,2.0,
,16,Maurice Trintignant  TRI,FRA,Gordini,2.0,
,16,Eric  Thompson  THO,GBR,Connaught Lea Francis,2.0,
,16,Felice Bonetto  BON,ITA,Maserati,2.0,
,22,Bill Vukovich VUK,USA,Kurtis Kraft Offenhauser,1.0,
