Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Keke  Rosberg  ROS,FIN,Williams Ford,44,
,2,Didier  Pironi  PIR,FRA,Ferrari,39,
,2,John  Watson  WAT,GBR,McLaren Ford,39,
,4,Alain  Prost  PRO,FRA,Renault,34,
,5,Niki  Lauda  LAU,AUT,McLaren Ford,30,
,6,Rene  Arnoux  ARN,FRA,Renault,28,
,7,Patrick  Tambay  TAM,FRA,Ferrari,25,
,7,Michele  Alboreto  ALB,ITA,Tyrrell Ford,25,
,9,Elio  de Angelis  DEA,ITA,Lotus Ford,23,
,10,Riccardo  Patrese  PAT,ITA,Brabham BMW,21,
,11,Nelson  Piquet  PIQ,BRA,Brabham BMW,20,
,12,Eddie Cheever  CHE,USA,Ligier Matra,15,
,13,Derek  Daly  DAL,IRL,Williams Ford,8,
,14,Nigel  Mansell  MAN,GBR,Lotus Ford,7,
,15,Carlos  Reutemann  REU,ARG,Williams Ford,6,
,15,Gilles  Villeneuve  VIL,CAN,Ferrari,6,
,17,Andrea  de Cesaris  DEC,ITA,Alfa Romeo,5,
,17,Jacques  Laffite  LAF,FRA,Ligier Matra,5,
,19,Mario  Andretti  AND,USA,Ferrari,4,
,20,Jean-Pierre  Jarier  JAR,FRA,Osella Ford,3,
,20,Marc  Surer  SUR,SUI,Arrows Ford,3,
,22,Manfred  Winkelhock  WIN,GER,ATS Ford,2,
,22,Eliseo  Salazar  SAL,CHI,ATS Ford,2,
,22,Bruno  Giacomelli  GIA,ITA,Alfa Romeo,2,
,22,Mauro  Baldi  BAL,ITA,Arrows Ford,2,
,26,Chico  Serra  SER,BRA,Fittipaldi Ford,1,
