Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Alberto  Ascari  ASC,ITA,Ferrari,34.5,
,2,Juan Manuel  Fangio  FAN,ARG,Maserati,27.5,
,3,Nino  Farina  FAR,ITA,Ferrari,26.0,
,4,Mike  Hawthorn  HAW,GBR,Ferrari,19.0,
,5,Luigi Villoresi  VIL,ITA,Ferrari,17.0,
,6,Jose Froilan  Gonzalez  GON,ARG,Maserati,13.5,
,7,Bill Vukovich VUK,USA,Kurtis Kraft Offenhauser,9.0,
,8,Toulo  de Graffenried  DEG,SUI,Maserati,7.0,
,9,Felice Bonetto  BON,ITA,Maserati,6.5,
,10,Art  Cross  CRO,USA,Kurtis Kraft Offenhauser,6.0,
,11,Onofre  Marimon  MAR,ARG,Maserati,4.0,
,11,Maurice Trintignant  TRI,FRA,Gordini,4.0,
,13,Oscar Alfredo  Galvez  GAL,ARG,Maserati,2.0,
,13,Sam  Hanks  HAN,USA,Kurtis Kraft Offenhauser,2.0,
,13,Duane  Carter  CAR,USA,Kurtis Kraft Offenhauser,2.0,
,13,Jack  McGrath  MCG,USA,Kurtis Kraft Offenhauser,2.0,
,13,Hermann  Lang  LAN,GER,Maserati,2.0,
,18,Fred  Agabashian  AGA,USA,Kurtis Kraft Offenhauser,1.5,
,18,Paul  Russo  RUS,USA,Kurtis Kraft Offenhauser,1.5,
