Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Alan Jones  JON,AUS,Williams Ford,67,
,2,Nelson  Piquet  PIQ,BRA,Brabham Ford,54,
,3,Carlos  Reutemann  REU,ARG,Williams Ford,42,
,4,Jacques  Laffite  LAF,FRA,Ligier Ford,34,
,5,Didier  Pironi  PIR,FRA,Ligier Ford,32,
,6,Rene  Arnoux  ARN,FRA,Renault,29,
,7,Elio  de Angelis  DEA,ITA,Lotus Ford,13,
,8,Jean-Pierre  Jabouille  JAB,FRA,Renault,9,
,9,Riccardo  Patrese  PAT,ITA,Arrows Ford,7,
,10,Keke  Rosberg  ROS,FIN,Fittipaldi Ford,6,
,10,Derek  Daly  DAL,IRL,Tyrrell Ford,6,
,10,John  Watson  WAT,GBR,McLaren Ford,6,
,10,Jean-Pierre  Jarier  JAR,FRA,Tyrrell Ford,6,
,10,Gilles  Villeneuve  VIL,CAN,Ferrari,6,
,15,Emerson  Fittipaldi  FIT,BRA,Fittipaldi Ford,5,
,15,Alain  Prost  PRO,FRA,McLaren Ford,5,
,17,Jochen  Mass  MAS,GER,Arrows Ford,4,
,17,Bruno  Giacomelli  GIA,ITA,Alfa Romeo,4,
,19,Jody  Scheckter  SCH,RSA,Ferrari,2,
,20,Hector  Rebaque  REB,MEX,Brabham Ford,1,
,20,Mario  Andretti  AND,USA,Lotus Ford,1,
