Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Kimi  Räikkönen  RAI,FIN,Ferrari,110,
,2,Lewis  Hamilton  HAM,GBR,McLaren Mercedes,109,
,3,Fernando  Alonso  ALO,ESP,McLaren Mercedes,109,
,4,Felipe  Massa  MAS,BRA,Ferrari,94,
,5,Nick  Heidfeld  HEI,GER,Sauber BMW,61,
,6,Robert  Kubica  KUB,POL,Sauber BMW,39,
,7,Heikki  Kovalainen  KOV,FIN,Renault,30,
,8,Giancarlo  Fisichella  FIS,ITA,Renault,21,
,9,Nico  Rosberg  ROS,GER,Williams Toyota,20,
,10,David  Coulthard  COU,GBR,Red Bull Renault,14,
,11,Alexander  Wurz  WUR,AUT,Williams Toyota,13,
,12,Mark  Webber  WEB,AUS,Red Bull Renault,10,
,13,Jarno  Trulli  TRU,ITA,Toyota,8,
,14,Sebastian  Vettel  VET,GER,STR Ferrari,6,
,15,Jenson  Button  BUT,GBR,Honda,6,
,16,Ralf  Schumacher  RSC,GER,Toyota,5,
,17,Takuma  Sato  SAT,JPN,Super Aguri Honda,4,
,18,Vitantonio  Liuzzi  LIU,ITA,STR Ferrari,3,
,19,Adrian  Sutil  SUT,GER,Spyker Ferrari,1,
,20,Rubens  Barrichello  BAR,BRA,Honda,0,
,21,Scott  Speed  SPE,USA,STR Ferrari,0,
,22,Kazuki  Nakajima  NAK,JPN,Williams Toyota,0,
,23,Anthony  Davidson  DAV,GBR,Super Aguri Honda,0,
,24,Sakon  Yamamoto  YAM,JPN,Spyker Ferrari,0,
,25,Christijan  Albers  ALB,NED,Spyker Ferrari,0,
