Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Lewis  Hamilton  HAM,GBR,Mercedes,384,
,2,Nico  Rosberg  ROS,GER,Mercedes,317,
,3,Daniel  Ricciardo  RIC,AUS,Red Bull Racing Renault,238,
,4,Valtteri Bottas  BOT,FIN,Williams Mercedes,186,
,5,Sebastian  Vettel  VET,GER,Red Bull Racing Renault,167,
,6,Fernando  Alonso  ALO,ESP,Ferrari,161,
,7,Felipe  Massa  MAS,BRA,Williams Mercedes,134,
,8,Jenson  Button  BUT,GBR,McLaren Mercedes,126,
,9,Nico  Hulkenberg  HUL,GER,Force India Mercedes,96,
,10,Sergio  Perez  PER,MEX,Force India Mercedes,59,
,11,Kevin  Magnussen  MAG,DEN,McLaren Mercedes,55,
,12,Kimi  Räikkönen  RAI,FIN,Ferrari,55,
,13,Jean-Eric  Vergne  VER,FRA,STR Renault,22,
,14,Romain  Grosjean  GRO,FRA,Lotus Renault,8,
,15,Daniil  Kvyat  KVY,RUS,STR Renault,8,
,16,Pastor  Maldonado  MAL,VEN,Lotus Renault,2,
,17,Jules  Bianchi  BIA,FRA,Marussia Ferrari,2,
,18,Adrian  Sutil  SUT,GER,Sauber Ferrari,0,
,19,Marcus  Ericsson  ERI,SWE,Caterham Renault,0,
,20,Esteban  Gutierrez GUT,MEX,Sauber Ferrari,0,
,21,Max  Chilton  CHI,GBR,Marussia Ferrari,0,
,22,Kamui  Kobayashi  KOB,JPN,Caterham Renault,0,
,23,Will  Stevens  STE,GBR,Caterham Renault,0,
