Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Damon  Hill  HIL,GBR,Williams Renault,97,
,2,Jacques  Villeneuve  VIL,CAN,Williams Renault,78,
,3,Michael  Schumacher  MSC,GER,Ferrari,59,
,4,Jean  Alesi  ALE,FRA,Benetton Renault,47,
,5,Mika  Hakkinen  HAK,FIN,McLaren Mercedes,31,
,6,Gerhard  Berger  BER,AUT,Benetton Renault,21,
,7,David  Coulthard  COU,GBR,McLaren Mercedes,18,
,8,Rubens  Barrichello  BAR,BRA,Jordan Peugeot,14,
,9,Olivier  Panis  PAN,FRA,Ligier Mugen Honda,13,
,10,Eddie  Irvine  IRV,GBR,Ferrari,11,
,11,Martin  Brundle  BRU,GBR,Jordan Peugeot,8,
,12,Heinz-Harald  Frentzen  FRE,GER,Sauber Ford,7,
,13,Mika  Salo  SAL,FIN,Tyrrell Yamaha,5,
,14,Johnny  Herbert  HER,GBR,Sauber Ford,4,
,15,Pedro  Diniz  DIN,BRA,Ligier Mugen Honda,2,
,16,Jos  Verstappen  VER,NED,Footwork Hart,1,
