Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Michael  Schumacher  MSC,GER,Ferrari,148,
,2,Rubens  Barrichello  BAR,BRA,Ferrari,114,
,3,Jenson  Button  BUT,GBR,BAR Honda,85,
,4,Fernando  Alonso  ALO,ESP,Renault,59,
,5,Juan Pablo  Montoya  MOY,COL,Williams BMW,58,
,6,Jarno  Trulli  TRU,ITA,Toyota,46,
,7,Kimi  Räikkönen  RAI,FIN,McLaren Mercedes,45,
,8,Takuma  Sato  SAT,JPN,BAR Honda,34,
,9,Ralf  Schumacher  RSC,GER,Williams BMW,24,
,10,David  Coulthard  COU,GBR,McLaren Mercedes,24,
,11,Giancarlo  Fisichella  FIS,ITA,Sauber Petronas,22,
,12,Felipe  Massa  MAS,BRA,Sauber Petronas,12,
,13,Mark  Webber  WEB,AUS,Jaguar Cosworth,7,
,14,Olivier  Panis  PAN,FRA,Toyota,6,
,15,Antonio  Pizzonia  PIZ,BRA,Williams BMW,6,
,16,Christian  Klien  KLI,AUT,Jaguar Cosworth,3,
,17,Cristiano  da Matta  DAM,BRA,Toyota,3,
,18,Nick  Heidfeld  HEI,GER,Jordan Ford,3,
,19,Timo  Glock  GLO,GER,Jordan Ford,2,
,20,Zsolt  Baumgartner  BAU,HUN,Minardi Cosworth,1,
,21,Jacques  Villeneuve  VIL,CAN,Renault,0,
,22,Ricardo  Zonta  ZON,BRA,Toyota,0,
,23,Marc  Gene  GEN,ESP,Williams BMW,0,
,24,Giorgio  Pantano  PAN,ITA,Jordan Ford,0,
,25,Gianmaria  Bruni  BRU,ITA,Minardi Cosworth,0,
