Unnamed: 0,Pos,Driver,Nationality,Car,PTS,Unnamed: 6
,1,Emerson  Fittipaldi  FIT,BRA,McLaren Ford,55,
,2,Clay  Regazzoni  REG,SUI,Ferrari,52,
,3,Jody  Scheckter  SCH,RSA,Tyrrell Ford,45,
,4,Niki  Lauda  LAU,AUT,Ferrari,38,
,5,Ronnie  Peterson  PET,SWE,Lotus Ford,35,
,6,Carlos  Reutemann  REU,ARG,Brabham Ford,32,
,7,Denny  Hulme  HUL,NZL,McLaren Ford,20,
,8,James  Hunt  HUN,GBR,Hesketh Ford,15,
,9,Patrick  Depailler  DEP,FRA,Tyrrell Ford,14,
,10,Jacky  Ickx  ICK,BEL,Lotus Ford,12,
,10,Mike  Hailwood  HAI,GBR,McLaren Ford,12,
,12,Carlos  Pace  PAC,BRA,Brabham Ford,11,
,13,Jean-Pierre  Beltoise  BEL,FRA,BRM,10,
,14,Jean-Pierre  Jarier  JAR,FRA,Shadow Ford,6,
,14,John  Watson  WAT,GBR,Brabham Ford,6,
,16,Hans-Joachim  Stuck  STU,GER,March Ford,5,
,17,Arturo  Merzario  MER,ITA,Iso Marlboro Ford,4,
,18,Graham  Hill  HIL,GBR,Lola Ford,1,
,18,Tom  Pryce  PRY,GBR,Shadow Ford,1,
,18,Vittorio  Brambilla  BRA,ITA,March Ford,1,
